"","Store","Date","Weekly_Sales"
"1",1,"2010-02-05",24441.7880597015
"2",2,"2010-02-05",31746.3631343284
"3",3,"2010-02-05",7909.80672413793
"4",4,"2010-02-05",31209.3232352941
"5",5,"2010-02-05",5520.59894736842
"6",6,"2010-02-05",24542.7143283582
"7",7,"2010-02-05",8342.54169491525
"8",8,"2010-02-05",15007.8351515152
"9",9,"2010-02-05",9882.41181818182
"10",10,"2010-02-05",32573.1640298507
"11",11,"2010-02-05",23070.0316666667
"12",12,"2010-02-05",17593.1066129032
"13",13,"2010-02-05",28390.2088405797
"14",14,"2010-02-05",39036.8292537313
"15",15,"2010-02-05",10301.2265079365
"16",16,"2010-02-05",8335.96842105263
"17",17,"2010-02-05",12802.3942622951
"18",18,"2010-02-05",20247.9545762712
"19",19,"2010-02-05",22422.877761194
"20",20,"2010-02-05",36145.5537878788
"21",21,"2010-02-05",12986.0427868852
"22",22,"2010-02-05",17014.2206666667
"23",23,"2010-02-05",21898.0493548387
"24",24,"2010-02-05",20569.3514925373
"25",25,"2010-02-05",10855.5414516129
"26",26,"2010-02-05",15881.9929230769
"27",27,"2010-02-05",27802.1162686567
"28",28,"2010-02-05",24882.5652238806
"29",29,"2010-02-05",9065.3606779661
"30",30,"2010-02-05",12211.0421052632
"31",31,"2010-02-05",21878.128358209
"32",32,"2010-02-05",15937.4611764706
"33",33,"2010-02-05",8053.42794117647
"34",34,"2010-02-05",14590.6187692308
"35",35,"2010-02-05",20993.834137931
"36",36,"2010-02-05",14152.48
"37",37,"2010-02-05",12437.6755813953
"38",38,"2010-02-05",8520.37619047619
"39",39,"2010-02-05",18853.7312307692
"40",40,"2010-02-05",15362.4424615385
"41",41,"2010-02-05",16397.5501515152
"42",42,"2010-02-05",13565.8365
"43",43,"2010-02-05",17899.4472222222
"44",44,"2010-02-05",6830.97170731707
"45",45,"2010-02-05",14554.0601639344
"46",1,"2010-02-12",24212.8113432836
"47",2,"2010-02-12",31543.0071641791
"48",3,"2010-02-12",7090.23534482759
"49",4,"2010-02-12",31655.2344117647
"50",5,"2010-02-12",5338.09614035088
"51",6,"2010-02-12",23715.133880597
"52",7,"2010-02-12",8775.05152542373
"53",8,"2010-02-12",14766.596969697
"54",9,"2010-02-12",9730.58509090909
"55",10,"2010-02-12",32005.1246268657
"56",11,"2010-02-12",23480.3439393939
"57",12,"2010-02-12",17706.8474193548
"58",13,"2010-02-12",29014.1892753623
"59",14,"2010-02-12",25209.5356716418
"60",15,"2010-02-12",10686.5653968254
"61",16,"2010-02-12",8189.26192982456
"62",17,"2010-02-12",13539.7650819672
"63",18,"2010-02-12",19781.3550847458
"64",19,"2010-02-12",22733.2398507463
"65",20,"2010-02-12",31675.4151515151
"66",21,"2010-02-12",12982.9918032787
"67",22,"2010-02-12",16704.3013333333
"68",23,"2010-02-12",21978.9017741935
"69",24,"2010-02-12",20957.9819402985
"70",25,"2010-02-12",9307.91741935484
"71",26,"2010-02-12",15553.0456923077
"72",27,"2010-02-12",25806.6307462687
"73",28,"2010-02-12",22938.1117910448
"74",29,"2010-02-12",8850.39813559322
"75",30,"2010-02-12",13024.7705263158
"76",31,"2010-02-12",22864.791641791
"77",32,"2010-02-12",16344.8947058824
"78",33,"2010-02-12",8640.65970588235
"79",34,"2010-02-12",15020.0010769231
"80",35,"2010-02-12",19844.285
"81",36,"2010-02-12",14212.7778787879
"82",37,"2010-02-12",12252.623255814
"83",38,"2010-02-12",8099.00404761905
"84",39,"2010-02-12",19203.4049230769
"85",40,"2010-02-12",14571.8996923077
"86",41,"2010-02-12",16149.601969697
"87",42,"2010-02-12",14336.533
"88",43,"2010-02-12",18832.6783333333
"89",44,"2010-02-12",6945.45243902439
"90",45,"2010-02-12",10672.3218032787
"91",1,"2010-02-19",23793.4571641791
"92",2,"2010-02-19",31425.0858208955
"93",3,"2010-02-19",7159.06086206897
"94",4,"2010-02-19",29781.7136764706
"95",5,"2010-02-19",5232.22789473684
"96",6,"2010-02-19",23215.0882089552
"97",7,"2010-02-19",8463.92830508475
"98",8,"2010-02-19",14456.9304545455
"99",9,"2010-02-19",9015.32581818182
"100",10,"2010-02-19",31224.0471641791
"101",11,"2010-02-19",22440.078030303
"102",12,"2010-02-19",17432.13
"103",13,"2010-02-19",28181.0971014493
"104",14,"2010-02-19",32625.2917910448
"105",15,"2010-02-19",10322.9328571429
"106",16,"2010-02-19",8167.82263157895
"107",17,"2010-02-19",12894.5359016393
"108",18,"2010-02-19",19169.1637288136
"109",19,"2010-02-19",22448.9682089552
"110",20,"2010-02-19",32524.2725757576
"111",21,"2010-02-19",13772.663442623
"112",22,"2010-02-19",16202.7595
"113",23,"2010-02-19",21091.4064516129
"114",24,"2010-02-19",20550.9919402985
"115",25,"2010-02-19",10757.5666129032
"116",26,"2010-02-19",15313.2796923077
"117",27,"2010-02-19",28798.3589552239
"118",28,"2010-02-19",21949.6744776119
"119",29,"2010-02-19",9012.43101694915
"120",30,"2010-02-19",12161.3673684211
"121",31,"2010-02-19",21749.5444776119
"122",32,"2010-02-19",15822.2717647059
"123",33,"2010-02-19",8685.74911764706
"124",34,"2010-02-19",14906.0386153846
"125",35,"2010-02-19",21607.8477586207
"126",36,"2010-02-19",14233.0984848485
"127",37,"2010-02-19",11849.0848837209
"128",38,"2010-02-19",7766.92571428571
"129",39,"2010-02-19",18776.2573846154
"130",40,"2010-02-19",14006.3243076923
"131",41,"2010-02-19",15845.7577272727
"132",42,"2010-02-19",12695.589
"133",43,"2010-02-19",18247.9613888889
"134",44,"2010-02-19",6516.13073170732
"135",45,"2010-02-19",13715.0095081967
"136",1,"2010-02-26",21023.3880597015
"137",2,"2010-02-26",27775.8874626866
"138",3,"2010-02-26",7004.5375862069
"139",4,"2010-02-26",28274.8245588235
"140",5,"2010-02-26",4708.42964912281
"141",6,"2010-02-26",21359.9871641791
"142",7,"2010-02-26",8334.48118644068
"143",8,"2010-02-26",12785.7040909091
"144",9,"2010-02-26",8556.80545454545
"145",10,"2010-02-26",29909.8292537313
"146",11,"2010-02-26",20211.1368181818
"147",12,"2010-02-26",16825.8508064516
"148",13,"2010-02-26",26281.97
"149",14,"2010-02-26",31258.1871641791
"150",15,"2010-02-26",8951.93317460317
"151",16,"2010-02-26",7759.67175438596
"152",17,"2010-02-26",12203.0959016393
"153",18,"2010-02-26",17990.2915254237
"154",19,"2010-02-26",20471.8231343284
"155",20,"2010-02-26",28670.996969697
"156",21,"2010-02-26",12241.9798360656
"157",22,"2010-02-26",14919.6458333333
"158",23,"2010-02-26",19288.2767741935
"159",24,"2010-02-26",17242.3217910448
"160",25,"2010-02-26",10113.160483871
"161",26,"2010-02-26",13150.8083076923
"162",27,"2010-02-26",20713.6794029851
"163",28,"2010-02-26",22987.5747761194
"164",29,"2010-02-26",8233.84593220339
"165",30,"2010-02-26",12410.0336842105
"166",31,"2010-02-26",20036.9958208955
"167",32,"2010-02-26",15475.4225
"168",33,"2010-02-26",8338.01911764706
"169",34,"2010-02-26",13907.7649230769
"170",35,"2010-02-26",17506.3775862069
"171",36,"2010-02-26",13542.4724242424
"172",37,"2010-02-26",11936.8630232558
"173",38,"2010-02-26",7949.15738095238
"174",39,"2010-02-26",17961.6830769231
"175",40,"2010-02-26",13260.0603076923
"176",41,"2010-02-26",15014.7310606061
"177",42,"2010-02-26",12274.9315
"178",43,"2010-02-26",17152.2683333333
"179",44,"2010-02-26",6652.54243902439
"180",45,"2010-02-26",12161.0927868852
"181",1,"2010-03-05",23180.4153731343
"182",2,"2010-03-05",29683.1885074627
"183",3,"2010-03-05",7137.83172413793
"184",4,"2010-03-05",28968.6845588235
"185",5,"2010-03-05",5051.47140350877
"186",6,"2010-03-05",23881.7452238806
"187",7,"2010-03-05",8266.84474576271
"188",8,"2010-03-05",13306.1240909091
"189",9,"2010-03-05",9152.84818181818
"190",10,"2010-03-05",29620.1785074627
"191",11,"2010-03-05",21600.0603030303
"192",12,"2010-03-05",17303.53
"193",13,"2010-03-05",28083.0604347826
"194",14,"2010-03-05",33384.5923880597
"195",15,"2010-03-05",9567.42984126984
"196",16,"2010-03-05",7777.01070175439
"197",17,"2010-03-05",12796.9619672131
"198",18,"2010-03-05",19879.0908474576
"199",19,"2010-03-05",22295.1725373134
"200",20,"2010-03-05",31997.4936363636
"201",21,"2010-03-05",12227.798852459
"202",22,"2010-03-05",16733.9826666667
"203",23,"2010-03-05",21086.2167741935
"204",24,"2010-03-05",20996.2970149254
"205",25,"2010-03-05",10708.0248387097
"206",26,"2010-03-05",15458.5023076923
"207",27,"2010-03-05",19569.2828358209
"208",28,"2010-03-05",23964.3359701493
"209",29,"2010-03-05",9026.41779661017
"210",30,"2010-03-05",12416.6007894737
"211",31,"2010-03-05",20660.1865671642
"212",32,"2010-03-05",15679.6230882353
"213",33,"2010-03-05",8555.275
"214",34,"2010-03-05",14060.7864615385
"215",35,"2010-03-05",19943.2231034483
"216",36,"2010-03-05",14528.5066666667
"217",37,"2010-03-05",12065.9909302326
"218",38,"2010-03-05",8853.56452380952
"219",39,"2010-03-05",19459.2595384615
"220",40,"2010-03-05",15222.172
"221",41,"2010-03-05",16103.5421212121
"222",42,"2010-03-05",13859.437
"223",43,"2010-03-05",18245.7069444444
"224",44,"2010-03-05",6930.08146341463
"225",45,"2010-03-05",12708.5557377049
"226",1,"2010-03-12",21463.7723880597
"227",2,"2010-03-12",29663.4291044776
"228",3,"2010-03-12",6600.44172413793
"229",4,"2010-03-12",27797.5766176471
"230",5,"2010-03-12",5206.83614035088
"231",6,"2010-03-12",23224.5094029851
"232",7,"2010-03-12",8098.32118644068
"233",8,"2010-03-12",12999.1945454545
"234",9,"2010-03-12",8883.69327272727
"235",10,"2010-03-12",28888.1080597015
"236",11,"2010-03-12",20150.4468181818
"237",12,"2010-03-12",15853.5837096774
"238",13,"2010-03-12",26625.3266666667
"239",14,"2010-03-12",32094.5286567164
"240",15,"2010-03-12",9569.34380952381
"241",16,"2010-03-12",7801.7149122807
"242",17,"2010-03-12",12449.171147541
"243",18,"2010-03-12",19164.6610169492
"244",19,"2010-03-12",21843.3411940299
"245",20,"2010-03-12",30327.5186363636
"246",21,"2010-03-12",11649.7762295082
"247",22,"2010-03-12",15960.8071666667
"248",23,"2010-03-12",22624.5503225806
"249",24,"2010-03-12",19485.752238806
"250",25,"2010-03-12",10635.0251612903
"251",26,"2010-03-12",14808.952
"252",27,"2010-03-12",28631.4234328358
"253",28,"2010-03-12",19752.7329850746
"254",29,"2010-03-12",8764.69694915254
"255",30,"2010-03-12",12292.0210526316
"256",31,"2010-03-12",20375.6446268657
"257",32,"2010-03-12",16056.1341176471
"258",33,"2010-03-12",9167.45647058823
"259",34,"2010-03-12",14129.2330769231
"260",35,"2010-03-12",19693.3198275862
"261",36,"2010-03-12",13354.8933333333
"262",37,"2010-03-12",11891.5713953488
"263",38,"2010-03-12",8125.94880952381
"264",39,"2010-03-12",19097.5176923077
"265",40,"2010-03-12",13790.7013846154
"266",41,"2010-03-12",15481.386969697
"267",42,"2010-03-12",14688.4215
"268",43,"2010-03-12",17879.5155555556
"269",44,"2010-03-12",6622.41536585366
"270",45,"2010-03-12",12479.172295082
"271",1,"2010-03-19",21934.9401492537
"272",2,"2010-03-19",28970.79
"273",3,"2010-03-19",6431.01448275862
"274",4,"2010-03-19",27816.0073529412
"275",5,"2010-03-19",4928.13631578947
"276",6,"2010-03-19",25208.4858208955
"277",7,"2010-03-19",9665.30491525424
"278",8,"2010-03-19",12644.7192424242
"279",9,"2010-03-19",8692.73109090909
"280",10,"2010-03-19",28946.7771641791
"281",11,"2010-03-19",20619.0393939394
"282",12,"2010-03-19",15592.5782258065
"283",13,"2010-03-19",27150.3160869565
"284",14,"2010-03-19",30733.7098507463
"285",15,"2010-03-19",9384.11523809524
"286",16,"2010-03-19",8817.04245614035
"287",17,"2010-03-19",12274.1854098361
"288",18,"2010-03-19",18271.0627118644
"289",19,"2010-03-19",19830.5488059701
"290",20,"2010-03-19",29389.2893939394
"291",21,"2010-03-19",11873.9060655738
"292",22,"2010-03-19",15888.0218333333
"293",23,"2010-03-19",19731.8029032258
"294",24,"2010-03-19",18177.2602985075
"295",25,"2010-03-19",10585.5201612903
"296",26,"2010-03-19",13875.4036923077
"297",27,"2010-03-19",25245.6856716418
"298",28,"2010-03-19",19048.3376119403
"299",29,"2010-03-19",8366.30745762712
"300",30,"2010-03-19",11703.225
"301",31,"2010-03-19",19858.1811940299
"302",32,"2010-03-19",15548.3958823529
"303",33,"2010-03-19",8277.31147058823
"304",34,"2010-03-19",13651.6195384615
"305",35,"2010-03-19",19092.3853448276
